title,description,course_url,topics,available_videos,id,view_count,popularity_score
Aircraft Systems Engineering,"16.885J offers a holistic view of the aircraft as a system, covering: basic systems engineering; cost and weight estimation; basic aircraft performance; safety and reliability; lifecycle topics; aircraft subsystems; risk analysis and management; and system realization. Small student teams retrospectively analyze an existing aircraft covering: key design drivers and decisions; aircraft attributes and subsystems; and operational experience. Oral and written versions of the case study are delivered. For the Fall 2005 term, the class focuses on a systems engineering analysis of the Space Shuttle. It offers study of both design and operations of the shuttle, with frequent lectures by outside experts. Students choose specific shuttle systems for detailed analysis and develop new subsystem designs using state of the art technology.",https://ocw.mit.edu/courses/16-885j-aircraft-systems-engineering-fall-2005/,"['Business', 'Project Management', 'Engineering', 'Aerospace Engineering', 'Systems Engineering']",22,141,822395,0.631578947368421
Single Variable Calculus,"This introductory calculus course covers differentiation and integration of functions of one variable, with applications.",https://ocw.mit.edu/courses/18-01-single-variable-calculus-fall-2006/,"['Mathematics', 'Calculus', 'Differential Equations']",35,142,8027332,0.9473684210526315
Multivariable Calculus,"<p>This course covers vector and multi-variable calculus. It is the second semester in the freshman calculus sequence. Topics include vectors and matrices, partial derivatives, double and triple integrals, and vector calculus in 2 and 3-space.</p>
<p>MIT OpenCourseWare offers another version of 18.02, from the Spring 2006 term. Both versions cover the same material, although they are taught by different faculty and rely on different textbooks. Multivariable Calculus (18.02) is taught during the Fall and Spring terms at MIT, and is a required subject for all MIT undergraduates.</p>
",https://ocw.mit.edu/courses/18-02-multivariable-calculus-fall-2007/,"['Mathematics', 'Calculus', 'Differential Equations', 'Linear Algebra']",35,145,7478668,0.9298245614035088
Differential Equations,"Differential Equations are the language in which the laws of nature are expressed. Understanding properties of solutions of differential equations is fundamental to much of contemporary science and engineering. Ordinary differential equations (ODE’s) deal with functions of one variable, which can often be thought of as time.",https://ocw.mit.edu/courses/18-03-differential-equations-spring-2010/,"['Mathematics', 'Differential Equations', 'Linear Algebra']",32,147,5369138,0.9035087719298246
Linear Algebra,"This is a basic subject on matrix theory and linear algebra. Emphasis is given to topics that will be useful in other disciplines, including systems of equations, vector spaces, determinants, eigenvalues, similarity, and positive definite matrices.",https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/,"['Mathematics', 'Linear Algebra']",35,149,15813721,0.9824561403508771
"Matrix Methods in Data Analysis, Signal Processing, and Machine Learning","Linear algebra concepts are key for understanding and creating machine learning algorithms, especially as applied to deep learning and neural networks. This course reviews linear algebra with applications to probability and statistics and optimization–and above all a full explanation of deep learning.",https://ocw.mit.edu/courses/18-065-matrix-methods-in-data-analysis-signal-processing-and-machine-learning-spring-2018/,"['Engineering', 'Electrical Engineering', 'Signal Processing', 'Mathematics', 'Applied Mathematics', 'Computation', 'Linear Algebra']",34,150,2133921,0.7807017543859649
Computational Science and Engineering I,"<p>This course provides a review of linear algebra, including applications to networks, structures, and estimation, Lagrange multipliers. Also covered are: differential equations of equilibrium; Laplace’s equation and potential flow; boundary-value problems; minimum principles and calculus of variations; Fourier series; discrete Fourier transform; convolution; and applications.</p>
<p>Note: This course was previously called “Mathematical Methods for Engineers I.”</p>
",https://ocw.mit.edu/courses/18-085-computational-science-and-engineering-i-fall-2008/,"['Engineering', 'Systems Engineering', 'Computational Science and Engineering', 'Mathematics', 'Applied Mathematics', 'Differential Equations', 'Linear Algebra']",50,152,1751760,0.7543859649122807
Mathematical Methods for Engineers II,This graduate-level course is a continuation of Mathematical Methods for Engineers I (18.085). Topics include numerical methods; initial-value problems; network flows; and optimization.,https://ocw.mit.edu/courses/18-086-mathematical-methods-for-engineers-ii-spring-2006/,"['Engineering', 'Systems Engineering', 'Computational Science and Engineering', 'Mathematics', 'Applied Mathematics', 'Differential Equations', 'Linear Algebra']",29,153,745558,0.6140350877192983
Graph Theory and Additive Combinatorics,"This course examines classical and modern developments in graph theory and additive combinatorics, with a focus on topics and themes that connect the two subjects. The course also introduces students to current research topics and open problems.",https://ocw.mit.edu/courses/18-217-graph-theory-and-additive-combinatorics-fall-2019/,"['Mathematics', 'Applied Mathematics', 'Discrete Mathematics', 'Probability and Statistics']",26,156,186987,0.2719298245614035
Theory of Computation,"This course emphasizes computability and computational complexity theory. Topics include regular and context-free languages, decidable and undecidable problems, reducibility, recursive function theory, time and space measures on computation, completeness, hierarchy theorems, inherently complex problems, oracles, probabilistic computation, and interactive proof systems.",https://ocw.mit.edu/courses/18-404j-theory-of-computation-fall-2020/,"['Engineering', 'Computer Science', 'Theory of Computation', 'Mathematics', 'Computation', 'Discrete Mathematics']",25,157,500863,0.5263157894736842
Statistics for Applications,This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.,https://ocw.mit.edu/courses/18-650-statistics-for-applications-fall-2016/,"['Mathematics', 'Probability and Statistics']",22,158,2922667,0.8333333333333334
Topics in Mathematics with Applications in Finance,The purpose of the class is to expose undergraduate and graduate students to the mathematical concepts and techniques used in the financial industry. Mathematics lectures are mixed with lectures illustrating the corresponding application in the financial industry. MIT mathematicians teach the mathematics part while industry professionals give the lectures on applications in finance.,https://ocw.mit.edu/courses/18-s096-topics-in-mathematics-with-applications-in-finance-fall-2013/,"['Business', 'Finance', 'Mathematics', 'Applied Mathematics', 'Probability and Statistics']",24,160,16896074,1.0
"Listening, Speaking, and Pronunciation","This course is designed for high-intermediate ESL students who need to develop better listening comprehension and oral skills, which will primarily be achieved by detailed instructions on pronunciation.&nbsp;Our focus will be on (1) producing accurate and intelligible English, (2) becoming more comfortable listening to rapidly spoken English, and (3) learning common expressions, gambits, and idioms used in both formal and informal contexts.",https://ocw.mit.edu/courses/21g-223-listening-speaking-and-pronunciation-fall-2004/,"['Humanities', 'Language', 'English as a Second Language']",4,170,1048135,0.6929824561403509
Seminar in Historical Methods,"This course is designed to acquaint students with a variety of approaches to the past used by historians writing in the twentieth century. The books we read have all made significant contributions to their respective sub-fields and have been selected to give as wide a coverage in both field and methodology as possible in one semester’s worth of reading. We examine how historians conceive of their object of study, how they use primary sources as a basis for their accounts, how they structure the narrative and analytic discussion of their topic, and what are the advantages and drawbacks of their various approaches.",https://ocw.mit.edu/courses/21h-931-seminar-in-historical-methods-spring-2004/,"['Humanities', 'History', 'Comparative History', 'Historical Methods', 'Historiography']",2,171,22110,0.03508771929824561
The Film Experience,"This course concentrates on close analysis and criticism of a wide range of films, from the early silent period, classic Hollywood genres including musicals, thrillers and westerns, and European and Japanese art cinema. It explores the work of Griffith, Chaplin, Keaton, Capra, Hawks, Hitchcock, Altman, Renoir, DeSica, and Kurosawa. Through comparative reading of films from different eras and countries, students develop the skills to turn their in-depth analyses into interpretations and explore theoretical issues related to spectatorship.",https://ocw.mit.edu/courses/21l-011-the-film-experience-fall-2013/,"['Fine Arts', 'Visual Arts', 'Film and Video']",23,172,718425,0.5964912280701754
Darwin and Design,"Humans are social animals; social demands, both cooperative and competitive, structure our development, our brain and our mind. This course covers social development, social behaviour, social cognition and social neuroscience, in both human and non-human social animals. Topics include altruism, empathy, communication, theory of mind, aggression, power, groups, mating, and morality. Methods include evolutionary biology, neuroscience, cognitive science, social psychology and anthropology.",https://ocw.mit.edu/courses/21l-448j-darwin-and-design-fall-2010/,"['Humanities', 'History', 'Intellectual History', 'Literature', 'Philosophy', 'Metaphysics', 'Science', 'Cognitive Science']",21,174,37776,0.05263157894736842
Introduction to Nuclear Engineering and Ionizing Radiation,"This course provides an introduction to nuclear science and its engineering applications. It describes basic nuclear models, radioactivity, nuclear reactions, and kinematics; covers the interaction of ionizing radiation with matter, with an emphasis on radiation detection, radiation shielding, and radiation effects on human health; and presents energy systems based on fission and fusion nuclear reactions, as well as industrial and medical applications of nuclear science.",https://ocw.mit.edu/courses/22-01-introduction-to-nuclear-engineering-and-ionizing-radiation-fall-2016/,"['Engineering', 'Nuclear Engineering', 'Science', 'Physics', 'Nuclear Physics']",34,180,5546906,0.9122807017543859
Nuclear Systems Design Project,"<p>This capstone course is a group design project involving integration of nuclear physics, particle transport, control, heat transfer, safety, instrumentation, materials, environmental impact, and economic optimization. It provides opportunities to synthesize knowledge acquired in nuclear and non-nuclear subjects and apply this knowledge to practical problems of current interest in nuclear applications design. Each year, the class takes on a different design project; this year, the project is a power plant design that ties together the creation of emission-free electricity with carbon sequestration and fossil fuel displacement. Students taking graduate version complete additional assignments.</p>
<p>This course is an elective subject in MIT’s undergraduate <a href=""http://mitei.mit.edu/education/energy-minor/"" target=""_blank"" rel=""noopener"">Energy Studies Minor</a>. This Institute-wide program complements the deep expertise obtained in any major with a broad understanding of the interlinked realms of science, technology, and social sciences as they relate to energy and associated environmental challenges.</p>
",https://ocw.mit.edu/courses/22-033-nuclear-systems-design-project-fall-2011/,"['Business', 'Project Management', 'Energy', 'Hydrogen and Alternatives', 'Nuclear', 'Renewables', 'Engineering', 'Nuclear Engineering', 'Nuclear Systems, Policy, and Economics', 'Systems Engineering', 'Systems Design', 'Science', 'Physics', 'Nuclear Physics']",6,182,416534,0.4824561403508772
Nuclear Reactor Safety,"Problems in nuclear engineering often involve applying knowledge from many disciplines simultaneously in achieving satisfactory solutions. The course will focus on understanding the complete nuclear reactor system including the balance of plant, support systems and resulting interdependencies affecting the overall safety of the plant and regulatory oversight. Both the Seabrook and Pilgrim nuclear plant simulators will be used as part of the educational experience to provide as realistic as possible understanding of nuclear power systems short of being at the reactor.",https://ocw.mit.edu/courses/22-091-nuclear-reactor-safety-spring-2008/,"['Energy', 'Nuclear', 'Engineering', 'Nuclear Engineering', 'Nuclear Systems, Policy, and Economics', 'Science', 'Physics', 'Nuclear Physics']",6,183,43740,0.06140350877192982
Philosophy In Film and Other Media,"This course examines works of film in relation to thematic issues of philosophical importance that also occur in other arts, particularly literature and opera. Emphasis is put on film’s ability to represent and express feeling as well as cognition. Both written and cinematic works by Sturges, Shaw, Cocteau, Hitchcock, Joyce, and Bergman, among others, are considered. There are no tests or quizzes, however students write two major papers on media/philosophical research topics of their choosing.",https://ocw.mit.edu/courses/24-209-philosophy-in-film-and-other-media-spring-2004/,"['Fine Arts', 'Media Studies', 'Visual Arts', 'Film and Video', 'Humanities', 'Literature', 'Philosophy']",4,185,84291,0.12280701754385964
Philosophy of Film,"This course is a seminar on the philosophical analysis of film art, with an emphasis on the ways in which it creates meaning through techniques that define a formal structure. There is a particular focus on aesthetic problems about appearance and reality, literary and visual effects, communication and alienation through film technology.",https://ocw.mit.edu/courses/24-213-philosophy-of-film-fall-2004/,"['Fine Arts', 'Visual Arts', 'Film and Video', 'Humanities', 'Philosophy']",4,186,53174,0.08771929824561403
Philosophy of Love in the Western World,"This course is a seminar on the nature of love and sex, approached as topics both in philosophy and in literature. Readings from recent philosophy as well as classic myths of love that occur in works of literature and lend themselves to philosophical analysis.",https://ocw.mit.edu/courses/24-261-philosophy-of-love-in-the-western-world-fall-2004/,"['Humanities', 'Literature', 'Philosophy']",4,187,105008,0.18421052631578946
"Feeling and Imagination in Art, Science, and Technology","This course is a seminar on creativity in art, science, and technology. We discuss how these pursuits are jointly dependent on affective as well as cognitive elements in human nature.&nbsp;We study feeling and imagination in relation to principles of idealization, consummation, and the aesthetic values that give meaning to science and technology as well as literature and the other arts. Readings in philosophy, psychology, and literature are part of the course.",https://ocw.mit.edu/courses/24-262-feeling-and-imagination-in-art-science-and-technology-spring-2004/,"['Humanities', 'Literature', 'Philosophy', 'Science', 'Cognitive Science', 'Social Science', 'Psychology']",4,188,9972,0.008771929824561403
Film as Visual and Literary Mythmaking,This course examines problems in the philosophy of film as well as literature studied in relation to their making of myths. The readings and films that are discussed in this course draw upon classic myths of the western world. Emphasis is placed on meaning and technique as the basis of creative value in both media.,https://ocw.mit.edu/courses/24-264-film-as-visual-and-literary-mythmaking-fall-2005/,"['Fine Arts', 'Visual Arts', 'Film and Video', 'Humanities', 'Literature', 'Philosophy']",2,189,19794,0.02631578947368421
Creole Languages and Caribbean Identities,"Caribbean Creole languages result from language contact via colonization and the slave trade. In this course we explore the history of Creole languages from cognitive, historical and comparative perspectives. We evaluate popular theories about “Creole genesis” and the role of language acquisition. Then we explore the non-linguistic aspects of Creole formation, using sources from literature, religion and music. We also look into issues of Caribbean identities as we examine Creole speakers’ and others’ beliefs and attitudes toward their cultures. We also make comparisons with relevant aspects of African-American culture in the U.S.",https://ocw.mit.edu/courses/24-908-creole-languages-and-caribbean-identities-spring-2017/,"['Humanities', 'Linguistics', 'Society', 'Latin and Caribbean Studies']",14,191,45407,0.07894736842105263
Black Matters: Introduction to Black Studies,"Interdisciplinary survey of people of African descent that draws on the overlapping approaches of history, literature, anthropology, legal studies, media studies, performance, linguistics, and creative writing. This course connects the experiences of African-Americans and of other American minorities, focusing on social, political, and cultural histories, and on linguistic patterns.",https://ocw.mit.edu/courses/24-912-black-matters-introduction-to-black-studies-spring-2017/,"['Humanities', 'Language', 'Literature', 'Philosophy', 'Society', 'African American Studies']",10,192,149088,0.21929824561403508
Creating Video Games,"CMS.611J / 6.073 Creating Video Games is a class that introduces students to the complexities of working in small, multidisciplinary teams to develop video games. Students will learn creative design and production methods, working together in small teams to design, develop, and thoroughly test their own original digital games. Design iteration across all aspects of video game development (game design, audio design, visual aesthetics, fiction and programming) will be stressed. Students will also be required to focus test their games, and will need to support and challenge their game design decisions with appropriate focus testing and data analysis.",https://ocw.mit.edu/courses/cms-611j-creating-video-games-fall-2014/,"['Business', 'Project Management', 'Engineering', 'Computer Science', 'Software Design and Engineering', 'Fine Arts', 'Game Design', 'Media Studies', 'Digital Media']",26,194,284962,0.39473684210526316
Speak Italian With Your Mouth Full,"The participants in this seminar will dive into learning basic conversational Italian, Italian culture, and the Mediterranean diet. Each class is based on the preparation of a delicious dish and on the bite-sized acquisition of parts of the Italian language and culture.&nbsp; A good diet is not based on recipes only, it is also rooted in healthy habits and in culture. At the end of the seminar the participants will be able to cook some healthy and tasty recipes &nbsp;and to understand and speak basic Italian.",https://ocw.mit.edu/courses/es-s41-speak-italian-with-your-mouth-full-spring-2012/,"['Humanities', 'Language', 'Italian', 'Society', 'European and Russian Studies']",39,198,173836,0.24561403508771928
Cryptocurrency Engineering and Design,"Bitcoin and other cryptographic currencies have gained attention over the years as the systems continue to evolve. This course looks at the design of Bitcoin and other cryptocurrencies and how they function in practice, focusing on cryptography, game theory, and network architecture.",https://ocw.mit.edu/courses/mas-s62-cryptocurrency-engineering-and-design-spring-2018/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures', 'Data Mining', 'Software Design and Engineering']",20,204,556676,0.543859649122807
Physics of COVID-19 Transmission,"This resource is a collection of videos taught using a LightBoard, a specialized glass that creates a transparent white board. It teaches scientific principles to quantitatively assess the risk of airborne transmission of COVID-19 in indoor spaces based on factors such as the occupancy, time, room geometry, mask use, ventilation, air filtration, humidity, respiratory activities, etc., as well as how these factors interact. This collection is suitable for learners with some undergraduate-level training in STEM, although some videos may also be accessible to the general public. Graduate students and professionals can watch optional videos with more challenging mathematics. A full MITx course with problems and bonus content is available for free on <a href=""https://courses.mitxonline.mit.edu/learn/course/course-v1:MITxT+10.S95x+3T2022/home"" target=""_blank"" rel=""noopener"">MITx Online</a>.",https://ocw.mit.edu/courses/res-10-s95-physics-of-covid-19-transmission-fall-2020/,"['Engineering', 'Chemical Engineering', 'Health and Medicine', 'Public Health', 'Science', 'Physics']",49,208,96855,0.16666666666666666
"Kanji Learning Any Time, Any Place for Japanese VI","This resource aims to enhance students’ learning of kanji by providing a series of video lectures that cover the kanji characters in <a href=""https://tobiraweb.9640.jp/"" target=""_blank"" rel=""noopener"">Tobira</a> lessons 6–10. The video lectures not only teach how to write kanji but also provide stories behind the kanji characters.",https://ocw.mit.edu/courses/res-21g-506-kanji-learning-any-time-any-place-for-japanese-vi-spring-2021/,"['Humanities', 'Language', 'Japanese']",5,221,78123,0.11403508771929824
Signals and Systems,"<p>This course was developed in 1987 by the MIT Center for Advanced Engineering Studies. It was designed as a distance-education course for engineers and scientists in the workplace.</p>
<p>Signals and Systems is an introduction to analog and digital signal processing, a topic that forms an integral part of engineering systems in many diverse areas, including seismic data processing, communications, speech processing, image processing, defense electronics, consumer electronics, and consumer products.</p>
<p>The course presents and integrates the basic concepts for both continuous-time and discrete-time signals and systems. Signal and system representations are developed for both time and frequency domains. These representations are related through the Fourier transform and its generalizations, which are explored in detail. Filtering and filter design, modulation, and sampling for both analog and digital systems, as well as exposition and demonstration of the basic concepts of feedback systems for both analog and digital systems, are discussed and illustrated.</p>
",https://ocw.mit.edu/courses/res-6-007-signals-and-systems-spring-2011/,"['Engineering', 'Electrical Engineering', 'Digital Systems', 'Signal Processing', 'Systems Engineering', 'Computational Modeling and Simulation']",26,224,2500647,0.7982456140350878
Digital Signal Processing,"<p>This course was developed in 1987 by the MIT Center for Advanced Engineering Studies. It was designed as a distance-education course for engineers and scientists in the workplace.</p>
<p>Advances in integrated circuit technology have had a major impact on the technical areas to which digital signal processing techniques and hardware are being applied. A thorough understanding of digital signal processing fundamentals and techniques is essential for anyone whose work is concerned with signal processing applications.</p>
<p>Digital Signal Processing begins with a discussion of the analysis and representation of discrete-time signal systems, including discrete-time convolution, difference equations, the z-transform, and the discrete-time Fourier transform. Emphasis is placed on the similarities and distinctions between discrete-time. The course proceeds to cover digital network and nonrecursive (finite impulse response) digital filters. Digital Signal Processing concludes with digital filter design and a discussion of the fast Fourier transform algorithm for computation of the discrete Fourier transform.</p>
",https://ocw.mit.edu/courses/res-6-008-digital-signal-processing-spring-2011/,"['Engineering', 'Electrical Engineering', 'Digital Systems', 'Signal Processing']",22,225,995494,0.6754385964912281
